店名	ジャンル	最寄り駅	価格帯	
岡半	鉄板焼き	銀座・新橋	～2,000円	
銀座古窯	ビーフシチュー	銀座・新橋	～1,200円	
桃花源	中華（麻婆豆腐）	銀座・新橋	～1,300円	
維新號	中華	銀座・新橋		
天國	天ぷら・天丼	銀座・新橋	～1,100円	
喜皿	定食	銀座・新橋	～1,000円	
やまや	定食（明太子）	新橋	～1,000円	
ちんちくりん	お好み焼き	新橋		
ぴゅあ	焼肉	新橋		
玲玲	餃子	新橋	～1,000円	
肉の万世	ハンバーグ・ステーキ	新橋	～1,200円	
牛かつ おか田	牛かつ	新橋		
チャオカリー	カレー	汐留	～1,200円	
おにやんま	うどん	新橋	～900円	
